"category_name","month","avg_review_score","total_reviews"
"computers_accessories","2018-05-01","4.00","452"
"computers_accessories","2018-06-01","4.17","387"
"computers_accessories","2018-07-01","4.28","378"
"computers_accessories","2018-08-01","4.29","408"
"consoles_games","2016-10-01","4.43","7"
"consoles_games","2017-01-01","4.50","20"
"consoles_games","2017-02-01","4.11","18"
"consoles_games","2017-03-01","4.02","45"
"consoles_games","2017-04-01","4.13","16"
"consoles_games","2017-05-01","4.14","29"
"consoles_games","2017-06-01","4.29","28"
"consoles_games","2017-07-01","4.27","45"
"consoles_games","2017-08-01","4.40","84"
"consoles_games","2017-09-01","4.40","63"
"consoles_games","2017-10-01","4.10","105"
"consoles_games","2017-11-01","4.13","127"
"consoles_games","2017-12-01","4.21","92"
"consoles_games","2018-01-01","4.18","49"
"consoles_games","2018-02-01","3.65","51"
"consoles_games","2018-03-01","3.70","53"
"consoles_games","2018-04-01","4.28","39"
"consoles_games","2018-05-01","3.73","51"
"consoles_games","2018-06-01","4.41","41"
"consoles_games","2018-07-01","4.22","41"
"consoles_games","2018-08-01","4.05","59"
"construction_tools_construction","2017-02-01","5.00","3"
"construction_tools_construction","2017-03-01","4.00","1"
"construction_tools_construction","2017-05-01","5.00","1"
"construction_tools_construction","2017-06-01","3.00","8"
"construction_tools_construction","2017-07-01","4.67","6"
"construction_tools_construction","2017-08-01","3.86","7"
"construction_tools_construction","2017-09-01","4.50","10"
"construction_tools_construction","2017-10-01","4.21","19"
"construction_tools_construction","2017-11-01","4.24","46"
"construction_tools_construction","2017-12-01","3.59","27"
"construction_tools_construction","2018-01-01","4.09","47"
"construction_tools_construction","2018-02-01","3.87","67"
"construction_tools_construction","2018-03-01","3.48","65"
"construction_tools_construction","2018-04-01","4.23","84"
"construction_tools_construction","2018-05-01","4.14","124"
"construction_tools_construction","2018-06-01","4.19","110"
"construction_tools_construction","2018-07-01","4.31","105"
"construction_tools_construction","2018-08-01","4.17","160"
"construction_tools_lights","2017-07-01","5.00","1"
"construction_tools_lights","2017-08-01","5.00","2"
"construction_tools_lights","2017-09-01","1.00","1"
"construction_tools_lights","2017-10-01","3.50","2"
"construction_tools_lights","2017-11-01","3.40","10"
"construction_tools_lights","2017-12-01","4.00","2"
"construction_tools_lights","2018-01-01","4.14","7"
"construction_tools_lights","2018-02-01","3.88","16"
"construction_tools_lights","2018-03-01","3.23","13"
"construction_tools_lights","2018-04-01","3.60","40"
"construction_tools_lights","2018-05-01","4.54","35"
"construction_tools_lights","2018-06-01","4.09","44"
"construction_tools_lights","2018-07-01","4.72","53"
"construction_tools_lights","2018-08-01","3.94","62"
"construction_tools_safety","2017-02-01","5.00","1"
"construction_tools_safety","2017-08-01","1.00","1"
"construction_tools_safety","2017-09-01","3.40","5"
"construction_tools_safety","2017-10-01","3.17","12"
"construction_tools_safety","2017-11-01","4.50","14"
"construction_tools_safety","2017-12-01","3.86","7"
"construction_tools_safety","2018-01-01","3.70","10"
"construction_tools_safety","2018-02-01","4.50","8"
"construction_tools_safety","2018-03-01","4.18","22"
"construction_tools_safety","2018-04-01","3.95","22"
"construction_tools_safety","2018-05-01","3.59","22"
"construction_tools_safety","2018-06-01","4.13","16"
"construction_tools_safety","2018-07-01","4.29","14"
"construction_tools_safety","2018-08-01","4.04","24"
"cool_stuff","2016-10-01","4.14","7"
"cool_stuff","2017-01-01","3.76","37"
"cool_stuff","2017-02-01","4.35","69"
"cool_stuff","2017-03-01","4.48","118"
"cool_stuff","2017-04-01","4.11","111"
"cool_stuff","2017-05-01","4.23","243"
"cool_stuff","2017-06-01","4.39","197"
"cool_stuff","2017-07-01","4.28","226"
"cool_stuff","2017-08-01","4.49","254"
"cool_stuff","2017-09-01","4.25","202"
"cool_stuff","2017-10-01","4.31","252"
"cool_stuff","2017-11-01","4.12","293"
"cool_stuff","2017-12-01","4.07","242"
"cool_stuff","2018-01-01","4.16","293"
"cool_stuff","2018-02-01","3.90","178"
"cool_stuff","2018-03-01","3.87","252"
"cool_stuff","2018-04-01","4.17","181"
