"category_name","product_id","sales_volume","rank"
"furniture_mattress_and_upholstery","5f5d009b0eed255c950e16ccad915ff7","3","3"
"garden_tools","422879e10f46682990de24d770e7f83d","482","1"
"garden_tools","389d119b48cf3043d311335e499d9c6b","389","2"
"garden_tools","368c6c730842d78016ad823897a372db","385","3"
"health_beauty","154e7e31ebfa092203795c972e5804a6","280","1"
"health_beauty","2b4609f8948be18874494203496bc318","259","2"
"health_beauty","7c1bd920dbdf22470b68bde975dd3ccf","230","3"
"home_appliances","be837f2e0152a208d4386f4126d5bd7c","36","1"
"home_appliances","e5eadf9be70a4a9fa514019542fc330a","36","1"
"home_appliances","b30d7b0adcdc4a117f455472548155ec","15","3"
"home_appliances","50d77758742285ff49f340ebdf0df5a7","15","3"
"home_appliances_2","f27aff266ad97e75d4a24c893b2c311e","13","1"
"home_appliances_2","2d063994ae4667cff3d6841e9d441d1d","11","2"
"home_appliances_2","7fe486a60125c1541517e30944f95066","10","3"
"home_comfort_2","ec5b3c8bb77ad22278f6e9d719a83de3","26","1"
"home_comfort_2","2072d4792ab7893ddbfc178948e0eb86","1","2"
"home_comfort_2","19de58ea609a59ce31f93672af50c09a","1","2"
"home_comfort_2","15dc5bc6f0f1e1a0d0255098726060c7","1","2"
"home_comfort_2","4fb3bad6b502eaca3b6d7d87bc1613a4","1","2"
"home_confort","35afc973633aaeb6b877ff57b2793310","162","1"
"home_confort","c6bf8cc852eee5c4ab264e792a9c23a1","10","2"
"home_confort","e2fcaac49de7a3a90f0dc74d7b1e9f10","9","3"
"home_confort","186052b3f166a0f7227e78b2d27652d3","9","3"
"home_construction","a39cc58c1b5926b6f9f378daa89f1315","34","1"
"home_construction","679a3e5e1d2bb68982be5734c6e55e63","29","2"
"home_construction","71540d636652fc682032d3b3c0a180c1","20","3"
"housewares","42a2c92a0979a949ca4ea89ec5c7b934","183","1"
"housewares","5a6e53c3b4e8684b13388d6aa4afdf12","73","2"
"housewares","f7a17d2c51d9df89a4f1711c4ac17f33","62","3"
